;Código do produto;Produto;Valor de compra sem impostos
836;2;yampa - software financeiro da 4blue;45.5
838;16;Gestão Financeira Lucrativa 3.0;557.0
839;2;yampa - software financeiro da 4blue;45.5
840;2;yampa - software financeiro da 4blue;45.5
841;2;yampa - software financeiro da 4blue;45.5
842;2;yampa - software financeiro da 4blue;45.5
843;13;Curso de Precificação para Produtos e Serviços;55.0
844;2;yampa - software financeiro da 4blue;145.0
845;2;yampa - software financeiro da 4blue;115.0
846;1;Iluminismo Financeiro 2.1;355.0
847;2;yampa - software financeiro da 4blue;1.0
849;16;Gestão Financeira Lucrativa 3.0;557.0
850;13;Curso de Precificação para Produtos e Serviços;147.0
851;2;yampa - software financeiro da 4blue;450.0
852;2;yampa - software financeiro da 4blue;1.0
853;2;yampa - software financeiro da 4blue;45.5
856;2;yampa - software financeiro da 4blue;145.0
858;25;Curso de Produtividade e Gestão do Tempo para Empreendedores;157.0
859;2;yampa - software financeiro da 4blue;45.5
860;2;yampa - software financeiro da 4blue;450.0
862;2;yampa - software financeiro da 4blue;1.0
864;2;yampa - software financeiro da 4blue;450.0
865;1;Iluminismo Financeiro 2.1;4550.0
868;2;yampa - software financeiro da 4blue;45.5
872;16;Gestão Financeira Lucrativa 3.0;557.0
873;17;Precificação para Serviços;157.0
875;25;Curso de Produtividade e Gestão do Tempo para Empreendedores;157.0
877;2;yampa - software financeiro da 4blue;45.5
878;2;yampa - software financeiro da 4blue;1.0
886;2;yampa - software financeiro da 4blue;45.5
888;2;yampa - software financeiro da 4blue;45.5
889;16;Gestão Financeira Lucrativa 3.0;557.0
890;2;yampa - software financeiro da 4blue;45.5
892;2;yampa - software financeiro da 4blue;1.0
893;2;yampa - software financeiro da 4blue;45.5
894;2;yampa - software financeiro da 4blue;45.5
895;2;yampa - software financeiro da 4blue;45.5
896;2;yampa - software financeiro da 4blue;45.5
897;2;yampa - software financeiro da 4blue;45.5
898;2;yampa - software financeiro da 4blue;45.5
902;1;Iluminismo Financeiro 2.1;455.0
903;2;yampa - software financeiro da 4blue;45.5
905;2;yampa - software financeiro da 4blue;45.5
906;2;yampa - software financeiro da 4blue;45.5
907;1;Iluminismo Financeiro 2.1;455.0
908;2;yampa - software financeiro da 4blue;1.0
909;16;Gestão Financeira Lucrativa 3.0;557.0
911;2;yampa - software financeiro da 4blue;45.5
912;2;yampa - software financeiro da 4blue;45.5
913;2;yampa - software financeiro da 4blue;45.5
917;2;yampa - software financeiro da 4blue;45.5
918;2;yampa - software financeiro da 4blue;45.5
921;2;yampa - software financeiro da 4blue;45.5
925;2;yampa - software financeiro da 4blue;45.5
926;2;yampa - software financeiro da 4blue;45.5
928;16;Gestão Financeira Lucrativa 3.0;557.0
929;13;Curso de Precificação para Produtos e Serviços;55.0
930;2;yampa - software financeiro da 4blue;145.0
931;2;yampa - software financeiro da 4blue;45.5
933;16;Gestão Financeira Lucrativa 3.0;557.0
936;16;Gestão Financeira Lucrativa 3.0;557.0
941;2;yampa - software financeiro da 4blue;45.5
942;13;Curso de Precificação para Produtos e Serviços;357.0
943;16;Gestão Financeira Lucrativa 3.0;557.0
944;2;yampa - software financeiro da 4blue;1.0
945;16;Gestão Financeira Lucrativa 3.0;557.0
948;2;yampa - software financeiro da 4blue;1.0
949;17;Precificação para Serviços;157.0
951;2;yampa - software financeiro da 4blue;1.0
952;2;yampa - software financeiro da 4blue;45.5
953;2;yampa - software financeiro da 4blue;45.5
955;2;yampa - software financeiro da 4blue;45.5
956;2;yampa - software financeiro da 4blue;45.5
